measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,135,Brazil,3,Both,22,All ages,992,Upper digestive system diseases,98,Tobacco,1,Number,1990,1656.6975796782442,1865.7370735760794,1436.8395277267125
1,Deaths,135,Brazil,3,Both,22,All ages,992,Upper digestive system diseases,99,Smoking,1,Number,1990,1656.6975796782444,1865.7370735760794,1436.8395277267125
1,Deaths,135,Brazil,3,Both,22,All ages,992,Upper digestive system diseases,169,All risk factors,1,Number,1990,1656.6975796782442,1865.7370735760794,1436.8395277267125
1,Deaths,135,Brazil,3,Both,22,All ages,992,Upper digestive system diseases,203,Behavioral risks,1,Number,1990,1656.6975796782442,1865.7370735760794,1436.8395277267125
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,85,Air pollution,1,Number,2019,0.10125405900751053,0.14115636466088557,0.07155693775219164
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,86,Ambient particulate matter pollution,1,Number,2019,0.06687404352078298,0.09739512517958841,0.04049600806434025
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,87,Household air pollution from solid fuels,1,Number,2019,0.0343800154867276,0.05627110545671572,0.017950274363386597
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,92,Child and maternal malnutrition,1,Number,2019,1.1001280310510166,1.4090195066238118,0.862589590353507
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,169,All risk factors,1,Number,2019,1.1223530811132403,1.4414442181116711,0.8818515196795109
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,202,Environmental/occupational risks,1,Number,2019,0.10125405900751053,0.14115636466088557,0.07155693775219164
1,Deaths,135,Brazil,3,Both,22,All ages,328,Upper respiratory infections,203,Behavioral risks,1,Number,2019,1.1001280310510166,1.4090195066238118,0.862589590353507
